Time,HeadX,HeadY,HeadZ,HeadTrackingState,NeckX,NeckY,NeckZ,NeckTrackingState,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTrackingState,SpineMidX,SpineMidY,SpineMidZ,SpineMidTrackingState,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTrackingState,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTrackingState,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTrackingState,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTrackingState,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTrackingState,WristLeftX,WristLeftY,WristLeftZ,WristLeftTrackingState,WristRightX,WristRightY,WristRightZ,WristRightTrackingState,HandLeftX,HandLeftY,HandLeftZ,HandLeftTrackingState,HandRightX,HandRightY,HandRightZ,HandRightTrackingState,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTrackingState,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTrackingState,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTrackingState,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackingState,HipLeftX,HipLeftY,HipLeftZ,HipLeftTrackingState,HipRightX,HipRightY,HipRightZ,HipRightTrackingState,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTrackingState,KneeRightX,KneeRightY,KneeRightZ,KneeRightTrackingState,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTrackingState,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTrackingState,FootLeftX,FootLeftY,FootLeftZ,FootLeftTrackingState,FootRightX,FootRightY,FootRightZ,FootRightTrackingState
00:00:00.014,0.2020656,0.6352651,1.682466,Tracked,0.1824779,0.4942127,1.77888,Tracked,0.1864974,0.437889,1.81336,Tracked,0.1977668,0.2636809,1.909309,Tracked,0.2121148,0.02480099,2.029203,Tracked,0.03574628,0.414914,1.817401,Tracked,0.3496579,0.3957251,1.824794,Tracked,-0.04207968,0.2215279,2.012466,Tracked,0.3788651,0.1753233,1.934246,Tracked,0.09284323,0.03011182,1.825567,Tracked,0.4511314,-0.02923011,1.912454,Tracked,0.1664041,-0.08287691,1.763444,Inferred,0.4413041,-0.05827652,1.870989,Tracked,0.2248258,-0.1472467,1.709853,Tracked,0.4397786,-0.07378317,1.84019,Tracked,0.08268192,-0.1301049,1.723351,Tracked,0.4206049,-0.05793324,1.84146,Tracked,0.1427999,0.02377114,1.997181,Tracked,0.2747732,0.02515833,1.998568,Tracked,0.02344055,-0.253668,1.763594,Tracked,0.249542,-0.2188574,1.701379,Tracked,0.09826756,-0.5679945,1.97254,Tracked,0.2084015,-0.5993158,1.916079,Tracked,0.0532664,-0.6559339,1.953806,Tracked,0.1954427,-0.6916847,1.856713,Tracked
00:00:00.210,0.2015353,0.6351296,1.681988,Tracked,0.1822126,0.4941374,1.779086,Tracked,0.1862927,0.4378321,1.813516,Tracked,0.1977024,0.2636711,1.909353,Tracked,0.2121131,0.02481189,2.029198,Tracked,0.03522308,0.4122416,1.815676,Tracked,0.3496809,0.3958923,1.825246,Tracked,-0.04316943,0.2218173,2.013076,Tracked,0.3771154,0.174517,1.932019,Tracked,0.09291127,0.03189467,1.825474,Inferred,0.4369922,-0.05391463,1.873317,Tracked,0.1693212,-0.08158134,1.763469,Inferred,0.42874,-0.136238,1.834729,Tracked,0.2255982,-0.1477626,1.708823,Tracked,0.4354555,-0.225949,1.862527,Tracked,0.08481629,-0.1295317,1.721645,Tracked,0.4130991,-0.1414361,1.802513,Tracked,0.1427933,0.02376871,1.997176,Tracked,0.2747842,0.02520439,1.99856,Tracked,0.02442682,-0.2557623,1.76538,Tracked,0.2495355,-0.219063,1.701243,Tracked,0.09845347,-0.5676984,1.97136,Tracked,0.2082097,-0.5994621,1.915306,Tracked,0.05298967,-0.6553851,1.953761,Tracked,0.1952807,-0.6921962,1.856909,Tracked
00:00:00.242,0.2010017,0.6348528,1.68196,Tracked,0.1819197,0.4940741,1.77831,Tracked,0.1860666,0.437724,1.812929,Tracked,0.1976185,0.2634945,1.909121,Tracked,0.2121406,0.02445845,2.029207,Tracked,0.03495146,0.4105596,1.814801,Tracked,0.3495004,0.3953128,1.824887,Tracked,-0.04521561,0.2228608,2.001804,Tracked,0.3739405,0.1917579,1.891849,Tracked,0.01013959,-0.03254559,1.856913,Tracked,0.4407772,-0.01356512,1.906772,Tracked,0.0007318173,-0.1106494,1.817213,Tracked,0.4371698,-0.05130801,1.876175,Tracked,-6.630878E-05,-0.1861354,1.808262,Tracked,0.4367991,-0.07619336,1.838066,Tracked,-0.04060728,-0.1548731,1.8025,Tracked,0.399561,-0.04011351,1.834571,Tracked,0.1428964,0.02339485,1.997207,Tracked,0.274747,0.02486628,1.998579,Tracked,0.02237433,-0.2529483,1.762386,Tracked,0.2495078,-0.2192879,1.701182,Tracked,0.09873929,-0.568119,1.971723,Tracked,0.2083821,-0.5993124,1.916009,Tracked,0.05150209,-0.6550657,1.953727,Tracked,0.1950586,-0.691932,1.857192,Tracked
00:00:00.337,0.2004686,0.6344395,1.68008,Tracked,0.1813933,0.4936294,1.777371,Tracked,0.1856553,0.437272,1.812089,Tracked,0.1975262,0.2630588,1.908566,Tracked,0.2123648,0.02407803,2.028908,Tracked,0.03427009,0.4080911,1.811371,Tracked,0.3491362,0.3938231,1.823398,Tracked,-0.04213339,0.2202951,2.01162,Tracked,0.4173425,0.1879891,2.008735,Tracked,0.009540526,-0.03095985,1.858026,Tracked,0.4413556,-0.01610369,1.903125,Tracked,-0.0004315396,-0.1108378,1.816623,Tracked,0.4349809,-0.05254122,1.8714,Tracked,-0.003297564,-0.1862176,1.80768,Tracked,0.4315906,-0.08050639,1.828861,Tracked,-0.03991179,-0.1557739,1.79875,Tracked,0.3994815,-0.03007526,1.844982,Tracked,0.1433766,0.02284618,1.99673,Tracked,0.2748083,0.02459683,1.998391,Tracked,0.02334662,-0.2578955,1.766166,Tracked,0.2494584,-0.2203373,1.700646,Tracked,0.09851946,-0.5692334,1.970581,Tracked,0.2075379,-0.5999799,1.916359,Tracked,0.04143941,-0.6501759,1.956611,Tracked,0.1953455,-0.6923941,1.856523,Tracked
00:00:00.458,0.20041,0.6329311,1.677444,Tracked,0.1804638,0.4915988,1.777553,Tracked,0.1849051,0.435577,1.812254,Tracked,0.1972504,0.2622075,1.908705,Tracked,0.212519,0.02396932,2.02918,Tracked,0.03427117,0.406713,1.809759,Tracked,0.3483912,0.3910497,1.821714,Tracked,-0.04188727,0.2204645,2.011361,Tracked,0.4180753,0.1883423,2.009533,Tracked,0.09395431,0.02625087,1.828203,Tracked,0.4407288,-0.01484768,1.904213,Tracked,0.0684825,-0.04466524,1.808478,Tracked,0.4348298,-0.05232751,1.87365,Tracked,0.06655215,-0.1218326,1.753297,Tracked,0.4347649,-0.08213767,1.828411,Tracked,0.01623411,-0.03054641,1.831658,Tracked,0.3969558,-0.03007444,1.845575,Tracked,0.1434515,0.02277169,1.997134,Tracked,0.2750403,0.02442442,1.99856,Tracked,0.02208223,-0.2541566,1.761687,Tracked,0.2493425,-0.2205468,1.700493,Tracked,0.09805208,-0.5686609,1.97143,Tracked,0.2072411,-0.601188,1.916143,Tracked,0.0342193,-0.6447625,1.959471,Inferred,0.1952775,-0.6936743,1.856227,Tracked
00:00:00.485,0.2003696,0.6317604,1.6762,Tracked,0.1802925,0.4906653,1.777129,Tracked,0.1847347,0.4348216,1.811948,Tracked,0.1971319,0.261908,1.908658,Tracked,0.212462,0.02396504,2.029261,Tracked,0.03430069,0.4063582,1.809329,Tracked,0.3481876,0.3902814,1.820784,Tracked,-0.04232312,0.2181429,2.009144,Tracked,0.4179419,0.1887453,2.009686,Tracked,0.09484012,0.02442391,1.826465,Inferred,0.4407749,-0.01429668,1.904739,Tracked,0.06890626,-0.0449346,1.805687,Tracked,0.4358291,-0.05139301,1.874606,Tracked,0.06750446,-0.1216521,1.750201,Tracked,0.4300097,-0.08035097,1.830297,Tracked,0.01683267,-0.04038867,1.822514,Tracked,0.3991672,-0.02993056,1.845103,Tracked,0.1432967,0.02277868,1.997273,Tracked,0.2750357,0.02441527,1.998606,Tracked,0.02267214,-0.255725,1.763046,Tracked,0.2492694,-0.2207471,1.700372,Tracked,0.09807151,-0.5687749,1.97145,Tracked,0.207296,-0.60122,1.916216,Tracked,0.03883668,-0.6487084,1.956582,Inferred,0.1951942,-0.6937349,1.856151,Tracked
00:00:00.513,0.2003447,0.6311865,1.675437,Tracked,0.1801781,0.490071,1.776954,Tracked,0.1846295,0.4342931,1.811801,Tracked,0.1970757,0.261615,1.908599,Tracked,0.2124634,0.0239428,2.029269,Tracked,0.03433212,0.4060857,1.809198,Tracked,0.3482294,0.3902212,1.820582,Tracked,-0.04200796,0.2200351,2.010894,Tracked,0.4179832,0.1889643,2.009747,Tracked,0.07097711,0.02876069,1.854095,Inferred,0.4408225,-0.01415796,1.905049,Tracked,0.049381,-0.04790701,1.819252,Tracked,0.434868,-0.0511757,1.874557,Tracked,0.05229377,-0.1249366,1.759803,Tracked,0.4327895,-0.08107737,1.829304,Tracked,-0.0007582164,-0.04529975,1.841791,Tracked,0.3974964,-0.02979145,1.845458,Tracked,0.1431856,0.02256563,1.99719,Tracked,0.2751291,0.02446787,1.998709,Tracked,0.02221262,-0.2542818,1.760821,Tracked,0.2491311,-0.2210722,1.700719,Tracked,0.09819575,-0.5688969,1.972809,Tracked,0.2075751,-0.6007773,1.916383,Tracked,0.03884713,-0.649013,1.956574,Inferred,0.195095,-0.6933036,1.856333,Tracked
00:00:00.567,0.2007162,0.62975,1.673688,Tracked,0.1798627,0.488779,1.776526,Tracked,0.1842621,0.4331161,1.811465,Tracked,0.1966356,0.260827,1.908532,Tracked,0.2120448,0.02370725,2.029477,Tracked,0.03425407,0.4053198,1.808902,Tracked,0.3483936,0.3887874,1.81991,Tracked,-0.04113618,0.2196727,2.011242,Tracked,0.4128809,0.1861088,2.009503,Tracked,0.07071961,0.02897617,1.854548,Inferred,0.4221899,-0.06854632,1.853562,Tracked,0.04949523,-0.04779644,1.818994,Tracked,0.4239973,-0.1502264,1.836754,Tracked,0.05203787,-0.1245663,1.760046,Tracked,0.4271849,-0.2303473,1.863436,Tracked,0.0005713883,-0.04323903,1.841785,Tracked,0.393652,-0.1620293,1.802166,Tracked,0.1425276,0.02228453,1.997346,Tracked,0.2748553,0.02422155,1.998965,Tracked,0.02332868,-0.2560214,1.761916,Tracked,0.2491596,-0.2212337,1.700877,Tracked,0.09776271,-0.567551,1.971939,Tracked,0.2078077,-0.5996559,1.916412,Tracked,0.04143461,-0.6493889,1.956946,Tracked,0.1949806,-0.6925324,1.857588,Tracked
00:00:00.710,0.2009853,0.6280282,1.671481,Tracked,0.1802771,0.4861384,1.77255,Tracked,0.1846258,0.430702,1.808246,Tracked,0.1968831,0.2591672,1.907223,Tracked,0.2122781,0.02290725,2.029853,Tracked,0.03454798,0.4025135,1.806141,Tracked,0.3486727,0.3860783,1.815709,Tracked,-0.03364919,0.2075149,2.002901,Tracked,0.4226283,0.1879781,2.006267,Tracked,0.08675229,0.02486181,1.833891,Tracked,0.4239948,-0.06704335,1.850584,Tracked,0.06212201,-0.04815862,1.809319,Tracked,0.4240328,-0.1447038,1.836243,Tracked,0.06264997,-0.1260336,1.751304,Tracked,0.4256747,-0.2243532,1.860833,Tracked,0.01167362,-0.06265515,1.820682,Tracked,0.3961019,-0.1472991,1.800319,Tracked,0.1429279,0.02162576,1.997754,Tracked,0.2749691,0.02331426,1.999327,Tracked,0.02257633,-0.2545034,1.760115,Tracked,0.2484756,-0.2218308,1.701041,Tracked,0.09834503,-0.5670512,1.972144,Tracked,0.2078751,-0.5991815,1.915902,Tracked,0.03669797,-0.6448095,1.96057,Inferred,0.1951203,-0.6922486,1.857701,Tracked
00:00:00.808,0.2009732,0.6271339,1.670418,Tracked,0.1809978,0.4843259,1.769606,Tracked,0.1852251,0.4290679,1.805728,Tracked,0.1971698,0.2580416,1.905901,Tracked,0.2124734,0.02270402,2.030197,Tracked,0.03537599,0.4001245,1.80234,Tracked,0.3486995,0.3849583,1.813201,Tracked,-0.0009678126,0.2009871,1.897715,Tracked,0.4216851,0.1862242,2.003754,Tracked,-0.01182493,-0.05537716,1.833598,Inferred,0.4240087,-0.06915117,1.84838,Tracked,0.008402745,-0.1190566,1.813869,Tracked,0.4236942,-0.1515402,1.837438,Tracked,-0.003510667,-0.1896052,1.812681,Tracked,0.4273637,-0.2299399,1.864866,Tracked,-0.03783739,-0.05892809,1.836769,Tracked,0.3949857,-0.152681,1.799858,Tracked,0.1430255,0.02125391,1.997624,Tracked,0.2753552,0.02331937,2.000186,Tracked,0.02124768,-0.2528158,1.757961,Tracked,0.2481769,-0.2213082,1.701376,Tracked,0.09768024,-0.5677463,1.972456,Tracked,0.2077493,-0.5992172,1.915903,Tracked,0.04018898,-0.6470737,1.966117,Tracked,0.1956408,-0.692062,1.856609,Tracked
